Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Altona,2,t,SP,hockingstuart,13.8,3018,2,1,2,190,126.6,1992,Hobsons Bay City Council,-37.8718,144.819,Western Metropolitan,5301,Carport,600000,2017,5
Beaumaris,5,h,VB,Hodges,17.3,3193,5,2,2,695.2,198.2,2000,Bayside City Council,-37.9736,145.0455,Southern Metropolitan,5366,Detached Garage,1950000,2017,11
Reservoir,5,h,S,Ray,11.2,3073,4,3,1,961,131,1948,Darebin City Council,-37.7024,144.984,Northern Metropolitan,21650,Parkade,791000,2016,6
Doncaster East,4,h,S,Jellis,14.3,3109,4,2,2,381,180,1990,Manningham City Council,-37.7913,145.1443,Eastern Metropolitan,10999,Indoor,1128000,2017,11
Brunswick,3,h,SP,Raine,5.2,3056,3,1,1.8,479,182,1925,Moreland City Council,-37.77694,144.96669,Northern Metropolitan,11918,Carport,1925000,2017,6
Coburg,4,h,S,Ray,7.8,3058,4,3,1,420,146,1920,Darebin City Council,-37.7501,144.962,Northern Metropolitan,11204,Underground,1136000,2017,3
Derrimut,4,h,S,FN,14.7,3030,4,2,2,648.8,193,2009,Brimbank City Council,-37.79017,144.75801,Western Metropolitan,2276,Attached Garage,730000,2017,10
Craigieburn,3,h,S,Ray,20.6,3064,3,2,1,169.2,100.8,2009,Hume City Council,-37.58355,144.90852,Northern Metropolitan,15510,Indoor,479250,2018,6
Brunswick,2,u,S,McDonald,5.2,3056,2.6,1,1,227.4,101.8,1992.4,Moreland City Council,-37.789074,145.088354,Northern Metropolitan,11918,Indoor,654000,2018,3
Bentleigh East,6,h,PI,Jellis,13.8,3165,4,3,1.2,397.4,168.2,1945.6,Glen Eira City Council,-37.92924,145.06467,Southern Metropolitan,10969,Underground,1350000,2017,8
South Yarra,1,u,S,Williams,2.7,3141,2.4,1.4,1.2,515.2,107.6,1974,Melbourne City Council,-37.746828,144.99354,Southern Metropolitan,14887,Parkade,539000,2017,11
Oakleigh East,3,u,S,Buxton,12.3,3166,3.2,1.6,2,431,128.2,1981.2,Monash City Council,-37.860334,145.047252,Southern Metropolitan,2547,Parkade,876500,2017,7
Cairnlea,3,h,S,Barry,14.8,3023,3,2,2,617,100.2,1970,Brimbank City Council,-37.75604,144.78371,Western Metropolitan,2674,Parkade,679000,2018,6
Abbotsford,3,h,S,Biggin,3,3067,3.6,2,1.8,641.4,183.2,1963.2,Yarra City Council,-37.823626,145.132416,Northern Metropolitan,4019,Indoor,980000,2017,11
Wallan,3,h,S,Barry,13.72,3756,3,1,1.6,991,114,1985,Mitchell Shire Council,-37.41838,144.98993,Northern Victoria,3988,Indoor,484000,2017,10
Beaumaris,4,h,VB,Chisholm,17.3,3193,4,3,3,576,40,1941,Bayside City Council,-37.992,145.032,Southern Metropolitan,5366,Attached Garage,2225000,2017,11
Epping,4,h,S,Love,19.6,3076,4,2,2,448,137,1984,Whittlesea City Council,-37.62357,145.01017,Northern Metropolitan,10926,Parkade,662000,2018,3
Mount Waverley,2,u,S,Ray,14.2,3149,2,1,1,198,140.6,2001.6,Monash City Council,-37.87135,145.14334,Eastern Metropolitan,13366,Parkade,720000,2017,3
St Kilda,3,t,S,Rodney,6.1,3182,3,2,2,0,200,2000,Port Phillip City Council,-37.8584,144.9802,Southern Metropolitan,13240,Underground,1295000,2016,7
Melton South,3,h,S,HAR,11.36,3338,3,1,1.2,731,101,1970,Melton City Council,-37.7131,144.5755,Western Victoria,4718,Underground,413000,2017,4
Prahran,2,h,S,Jellis,4.5,3181,2,1,2,227,145.8,1961,Stonnington City Council,-37.8543,145.003,Southern Metropolitan,7717,Carport,1460000,2017,3
Glen Iris,3,h,S,hockingstuart,9.2,3146,3,1,2,685,143,1941,Boroondara City Council,-37.8538,145.0842,Southern Metropolitan,10412,Parkade,1665000,2016,6
Hawthorn,4,h,SP,Noel,4.6,3122,3,2,1.8,601,158,1940,Boroondara City Council,-37.839,145.0418,Southern Metropolitan,11308,Detached Garage,1800000,2016,8
Balwyn North,4,h,S,Fletchers,9.2,3104,4,2,2,1010,250,1950,Boroondara City Council,-37.7982,145.0903,Southern Metropolitan,7809,Indoor,2205000,2016,11
Thornbury,3,h,S,McGrath,7,3071,3,2,2,309,143,1910,Darebin City Council,-37.75901,145.00146,Northern Metropolitan,8870,Indoor,1475000,2018,2
Tarneit,4,h,S,Ray,18.4,3029,2.6,1.2,1.4,117.6,106.2,1991,Wyndham City Council,-37.774772,144.971318,Western Metropolitan,10160,Detached Garage,505000,2017,5
Brighton East,3,t,PI,Buxton,10.3,3187,3,2,2,344,206,2012,Bayside City Council,-37.93001,145.01368,Southern Metropolitan,6938,Underground,1420000,2018,2
Brunswick East,2,h,S,Nelson,4,3057,2,1,0,160,89,1900,Moreland City Council,-37.77739,144.97361,Northern Metropolitan,5533,Carport,1190000,2018,10
Brunswick West,2,h,PI,Nelson,5.2,3055,2,1,1.2,222,131.8,1930,Moreland City Council,-37.77403,144.94894,Northern Metropolitan,7082,Indoor,795000,2017,10
Brighton,2,t,S,Buxton,11.2,3186,2,1,2,125,152.2,2009,Bayside City Council,-37.9078,145.0051,Southern Metropolitan,10579,Detached Garage,1037000,2017,2
Brighton,3,h,VB,Buxton,11.2,3186,3.4,2,2,488.8,210.2,1945,Bayside City Council,-37.9251,145.0006,Southern Metropolitan,10579,Indoor,2100000,2016,6
Hawthorn,1,u,S,Jellis,5.3,3122,3,2,2,233,144,1995,Boroondara City Council,-37.81309,145.01736,Southern Metropolitan,11308,Carport,502000,2017,10
Mill Park,4,h,S,HAR,17.9,3082,4,2,2,440.2,132,1965.2,Whittlesea City Council,-37.66234,145.07483,Northern Metropolitan,10529,Carport,872000,2018,10
Cheltenham,3,t,S,Buxton,17.9,3192,3,2,2,171,112,2014,Bayside City Council,-37.95653,145.06708,Southern Metropolitan,9758,Parkade,790000,2018,2
Williamstown North,3,h,SP,Raine,8.9,3016,3,1,1,311,126,1920,Hobsons Bay City Council,-37.8546,144.8762,Western Metropolitan,802,Indoor,1225000,2016,11
Reservoir,3,u,S,Harcourts,11.2,3073,3,1,2,855,129.126,1994.4,Darebin City Council,-37.7328,145.0348,Northern Metropolitan,21650,Attached Garage,672000,2016,6
Tarneit,4,h,S,Sweeney,18.4,3029,4,2,2,653,133.6,1988.6,Wyndham City Council,-37.8346,144.6644,Western Metropolitan,10160,Parkade,652000,2017,11
Kensington,3,h,S,Rendina,4.2,3031,3,1,3,459,96.4,1954.4,Melbourne City Council,-37.7917,144.9251,Northern Metropolitan,5263,Detached Garage,1335000,2017,2
Glenroy,3,h,S,Stockdale,13,3046,3,1,2,587,124.4,1980.4,Moreland City Council,-37.6995,144.905,Northern Metropolitan,8870,Attached Garage,710000,2017,5
Sandringham,4,h,SP,Buxton,15.2,3191,4,2,3,528.6,210,1940,Bayside City Council,-37.94825,145.01634,Southern Metropolitan,4497,Attached Garage,1900000,2017,9
St Kilda,2,u,S,Gary,6.1,3182,2.6,1,1,320.2,126.8,1986.8,Port Phillip City Council,-37.77934,144.957092,Southern Metropolitan,13240,Attached Garage,717000,2016,11
Flemington,2,h,SP,Nelson,3.4,3031,2,1,1,119,132.8,1967.2,Melbourne City Council,-37.78629,144.92952,Northern Metropolitan,3593,Carport,860000,2017,10
Ascot Vale,2,u,SP,Brad,5.9,3032,2,1,1,301,104,1995,Moonee Valley City Council,-37.7791,144.914,Western Metropolitan,6567,Carport,610000,2016,4
Brooklyn,1,h,SP,Greg,6.4,3012,2,1,1.2,140,65.2,1982.6,Brimbank City Council,-37.762082,144.952622,Western Metropolitan,962,Underground,370000,2017,3
Werribee,3,h,S,YPA,14.7,3030,3,1,2,662,179.98,2006.2,Wyndham City Council,-37.89302,144.65938,Western Metropolitan,16166,Underground,595000,2017,9
Cremorne,2,h,S,hockingstuart,2.5,3121,2,1,0,128,184.8,1962.8,Yarra City Council,-37.8291,144.9952,Northern Metropolitan,1123,Detached Garage,831000,2016,5
Caulfield North,2,u,S,Gary,7.8,3161,1.6,1.2,1,78.8,64.8,2005,Glen Eira City Council,-37.779064,144.97737,Southern Metropolitan,6923,Underground,422000,2017,9
Bulleen,3,u,S,Barry,11.8,3105,3,1,1,421,131.2,1968,Manningham City Council,-37.7798,145.1023,Eastern Metropolitan,4480,Attached Garage,812500,2016,11
Glen Iris,5,h,S,Fletchers,9.2,3146,5,3,2,619,165.4,2003,Boroondara City Council,-37.8554,145.0611,Southern Metropolitan,10412,Attached Garage,2175000,2016,4
Broadmeadows,3,h,S,YPA,14,3047,3,1,1,677,131.8,1995.8,Hume City Council,-37.69265,144.92653,Northern Metropolitan,4294,Parkade,586000,2017,7
Thornbury,3,h,SP,McGrath,6.5,3071,3,1.4,1.4,456.8,150.4,1962.8,Darebin City Council,-37.801476,145.002538,Northern Metropolitan,8870,Detached Garage,1470000,2016,11
Craigieburn,3,h,SP,RE,20.6,3064,3,2,1,441.6,129,2003.2,Hume City Council,-37.57555,144.90855,Northern Metropolitan,15510,Detached Garage,515000,2017,9
Coburg North,2,t,S,Ray,9.2,3058,2,2,2,186,101.2,1973.4,Darebin City Council,-37.7263,144.9843,Northern Metropolitan,3445,Outdoor Stall,570000,2016,4
Strathmore,3,h,S,Considine,9.7,3041,3,2,2,211,46,1980,Moonee Valley City Council,-37.734,144.9145,Western Metropolitan,3284,Detached Garage,1080000,2016,6
Hawthorn East,2,h,S,Jellis,7.5,3123,2,1,2,390,102,1935,Boroondara City Council,-37.8322,145.0486,Southern Metropolitan,6482,Detached Garage,1585000,2016,10
Deer Park,4,h,S,YPA,14.8,3023,4,2,2,709,106,1973.2,Brimbank City Council,-37.76336,144.7725,Western Metropolitan,6388,Parkade,650000,2017,6
Port Melbourne,3,h,S,Marshall,3.5,3207,3,2,1.8,153,148,1910,Melbourne City Council,-37.83819,144.94686,Southern Metropolitan,8648,Parkade,1920000,2017,10
Brighton,3,u,PI,Marshall,11.2,3186,3,2,1,0,115.44,1967.4,Bayside City Council,-37.909,145.0005,Southern Metropolitan,10579,Detached Garage,835000,2016,8
Carnegie,3,h,S,Woodards,11.4,3163,2,2,1,817,130,1925,Glen Eira City Council,-37.9007,145.047,Southern Metropolitan,7822,Detached Garage,1716000,2016,8
Fitzroy North,2,h,S,Nelson,3.5,3068,2,1,0,107,64,1910,Moreland City Council,-37.7898,144.9794,Northern Metropolitan,6244,Indoor,870000,2016,3
Bundoora,4,h,S,Barry,12.1,3083,4,2,2,662,130.8,1979,Banyule City Council,-37.69582,145.07639,Northern Metropolitan,10175,Parking Pad,769000,2017,6
Burwood,3,h,S,Jellis,11.7,3125,3,2,2,653,120,1950,Monash City Council,-37.8445,145.1011,Southern Metropolitan,5678,Attached Garage,1540000,2016,9
Murrumbeena,2,u,PI,Woodards,12.1,3163,2,1,1,0,73.6,1970,Glen Eira City Council,-37.8941,145.0655,Southern Metropolitan,4442,Attached Garage,435000,2016,8
Fitzroy North,3,t,S,Jellis,3.5,3068,3,2,1,77,133,2016,Moreland City Council,-37.7923,144.9776,Northern Metropolitan,6244,Detached Garage,1080000,2016,11
Collingwood,2,t,S,Jellis,1.6,3066,3,1.2,1,495.6,130.8,1937.4,Yarra City Council,-37.794604,145.047746,Northern Metropolitan,4553,Detached Garage,1075000,2017,4
Balwyn,3,h,S,Kay,9.7,3103,3,1,2,281,150,1995,Boroondara City Council,-37.8013,145.0652,Southern Metropolitan,5682,Carport,905000,2016,10
Brooklyn,3,h,S,hockingstuart,10.9,3012,3,1,2,715,143.902,1973,Brimbank City Council,-37.8239,144.8431,Western Metropolitan,962,Detached Garage,892000,2016,8
Keilor East,3,h,S,Nelson,12.8,3033,3,1,2,662,140,1972,Brimbank City Council,-37.738,144.869,Western Metropolitan,5629,Underground,935000,2017,4
Preston,2,u,PI,Nelson,8.4,3072,2.8,1.2,1.6,490.2,109.8,1969.2,Darebin City Council,-37.81767,144.823144,Northern Metropolitan,14577,Detached Garage,541000,2017,10
St Kilda,2,u,S,hockingstuart,6.1,3182,3.2,1.4,1.6,397.4,131.2,1983.2,Port Phillip City Council,-37.869,144.9849,Southern Metropolitan,13240,Indoor,671000,2016,3
Hampton,4,h,S,Buxton,13.8,3188,4,2,2,664.2,211,1920,Bayside City Council,-37.93065,145.00396,Southern Metropolitan,5454,Attached Garage,2160000,2017,9
Hampton East,3,t,S,Buxton,14.5,3188,2.8,1.2,1.6,359,143.2,1961,Bayside City Council,-37.861894,144.974614,Southern Metropolitan,2356,Underground,1200000,2016,7
Mount Waverley,4,t,S,Jellis,14.2,3149,4,2,2,243,144.2,1939,Monash City Council,-37.86463,145.14284,Eastern Metropolitan,13366,Attached Garage,1250800,2017,5
Craigieburn,4,h,S,Barry,20.6,3064,4,2,2,399,157.8,1991,Hume City Council,-37.5924,144.89019,Northern Metropolitan,15510,Carport,640000,2018,6
Avondale Heights,4,h,S,Nelson,10.5,3034,4,2,2,589,150,1961,Moonee Valley City Council,-37.7573,144.8534,Western Metropolitan,4502,Indoor,762000,2016,7
Pascoe Vale,3,h,S,Nelson,9.9,3044,3,1,2,628,108.6,1941.8,Moreland City Council,-37.7295,144.9316,Northern Metropolitan,7485,Indoor,815000,2016,10
Eltham North,5,h,S,Barry,18,3095,5,2,1,813,166.2,1972,Banyule City Council,-37.7068,145.13232,Eastern Metropolitan,2346,Detached Garage,850000,2017,7
Coburg North,3,h,S,Nelson,9.2,3058,3,1,2,626,108,1950,Darebin City Council,-37.7201,144.9696,Northern Metropolitan,3445,Attached Garage,700000,2016,7
Truganina,3,h,S,TRUE,18.4,3029,3,2,2,347,134,2010,Melton City Council,-37.83963,144.71487,Western Metropolitan,5811,Detached Garage,451000,2017,8
Mordialloc,4,h,SP,Ray,21.5,3195,4,2,2,603,194,2004,Kingston City Council,-38.00549,145.10372,South-Eastern Metropolitan,3650,Carport,1150000,2017,6
Templestowe Lower,4,h,PI,Mason,13.8,3107,4,2,1.8,671,180,1970,Manningham City Council,-37.7631,145.1108,Eastern Metropolitan,5420,Parkade,790000,2016,8
Hampton,2,h,S,Buxton,13.7,3188,2,1,1,319,158.8,1914,Bayside City Council,-37.9409,145.0001,Southern Metropolitan,5454,Indoor,1690000,2016,10
Bentleigh East,4,h,S,Woodards,13.9,3165,3.2,1.4,1.4,504.2,120.2,1932.4,Glen Eira City Council,-37.89648,145.06272,Southern Metropolitan,10969,Attached Garage,1108000,2016,7
Brunswick East,2,h,S,Nelson,4,3057,2,1,1,186,147.2,1957.4,Moreland City Council,-37.76321,144.97837,Northern Metropolitan,5533,Underground,1065000,2017,9
Ormond,2,u,S,Buxton,11.4,3204,2.4,1.4,1.2,239.4,126.4,1985.8,Glen Eira City Council,-37.7619,144.982376,Southern Metropolitan,3578,Detached Garage,630000,2017,11
Bentleigh East,3,h,S,Buxton,13.9,3165,4,2,2,590,118,1960,Glen Eira City Council,-37.9256,145.0757,Southern Metropolitan,10969,Carport,1390000,2016,7
Sunshine,2,h,S,Barry,10.5,3020,2,1,1,473.8,196,1982,Brimbank City Council,-37.78227,144.84038,Western Metropolitan,3755,Attached Garage,965000,2017,8
Reservoir,3,u,PI,Barry,11.2,3073,2.6,1.2,1.2,283.8,110.8,1981.6,Darebin City Council,-37.736322,144.996776,Northern Metropolitan,21650,Indoor,540000,2016,8
Sandringham,4,h,VB,Buxton,15.2,3191,4,2,2,412,173,1922.6,Bayside City Council,-37.9588,145.0282,Southern Metropolitan,4497,Indoor,1650000,2017,11
Southbank,2,u,S,hockingstuart,0.7,3006,2.4,1.2,1,183.8,93.6,1982.2,Melbourne City Council,-37.82449,144.96222,Southern Metropolitan,8400,Underground,523500,2017,9
South Yarra,1,u,S,hockingstuart,2.7,3141,1.4,1.2,0.6,0,67.6,1981.6,Melbourne City Council,-37.84896,144.93062,Southern Metropolitan,14887,Carport,407800,2017,9
Cremorne,2,h,S,Biggin,2.4,3121,3.2,1.4,1.2,554,158,1938,Yarra City Council,-37.859744,145.034892,Northern Metropolitan,1123,Attached Garage,1265500,2017,11
Elwood,1,u,VB,Chisholm,7.2,3184,1,1,1,1192,45,2009,Port Phillip City Council,-37.88306,144.9841,Southern Metropolitan,8989,Underground,420000,2017,3
Balwyn North,3,u,S,Marshall,9.7,3104,3,2,2,314,178.4,1921,Boroondara City Council,-37.79386,145.06746,Southern Metropolitan,7809,Parkade,1600000,2017,7
Spotswood,3,h,S,Village,7.7,3015,2,1,2,526,127,1950,Hobsons Bay City Council,-37.8267,144.8779,Western Metropolitan,1223,Outdoor Stall,1070000,2016,11
Ringwood North,3,t,S,Carter,19.9,3134,3.4,1.6,2.2,586.8,112.6,1967.6,Manningham City Council,-37.768706,145.12357,Eastern Metropolitan,3619,Underground,830000,2017,5
Albanvale,4,h,S,Sweeney,14,3021,4,3,3,531,121.558,1990.8,Brimbank City Council,-37.74373,144.77567,Western Metropolitan,1899,Detached Garage,655000,2017,7
Bentleigh East,3,t,S,Buxton,13.9,3165,3,2,1,343,115.4,1970.4,Glen Eira City Council,-37.9112,145.0738,Southern Metropolitan,10969,Detached Garage,920000,2016,4
Carnegie,3,h,VB,hockingstuart,10.1,3163,3,2,2,557,200,1930,Glen Eira City Council,-37.89584,145.04741,Southern Metropolitan,7822,Detached Garage,1550000,2017,6
Plumpton,3,h,S,Daniel,23.8,3335,2.8,1,1.4,275.8,72.8,1971,Melton City Council,-37.812054,144.975742,Western Metropolitan,1490,Parking Pad,464000,2018,6
Coburg,3,h,S,Nelson,7.8,3058,2.4,1.2,1.2,235.4,141,1951.4,Darebin City Council,-37.756338,144.998012,Northern Metropolitan,11204,Parkade,765000,2016,4
Reservoir,3,h,PI,hockingstuart,12,3073,3,1,2,464,170.4,1961.2,Darebin City Council,-37.72318,145.01556,Northern Metropolitan,21650,Detached Garage,855000,2017,9
Newport,4,h,PI,Greg,6.2,3015,4,3,2,368,188.4,1958.8,Hobsons Bay City Council,-37.84034,144.88751,Western Metropolitan,5498,Carport,1500000,2018,3
Keilor East,4,h,S,Nelson,11.7,3033,4,1,1.8,263.6,143,1959.2,Brimbank City Council,-37.74753,144.85144,Western Metropolitan,5629,Detached Garage,930000,2017,10
Bentleigh,3,h,S,C21,13,3204,3,1,1,617,135,1957.8,Glen Eira City Council,-37.9282,145.047,Southern Metropolitan,6795,Outdoor Stall,1350000,2016,9
Coburg North,3,h,S,Nelson,9.2,3058,3,1,2,104,138,2014,Darebin City Council,-37.7307,144.9826,Northern Metropolitan,3445,Underground,625000,2016,10
Ivanhoe,3,u,S,Miles,7.8,3079,3.2,1.6,1.2,526,118.4,1962,Banyule City Council,-37.811648,144.932314,Eastern Metropolitan,5549,Detached Garage,1220000,2018,6
Doncaster,3,h,SP,Woodards,12.4,3108,3,1,2,647,127,1965,Manningham City Council,-37.79436,145.13869,Eastern Metropolitan,9028,Detached Garage,1360000,2017,3
Reservoir,2,u,PI,Ray,11.2,3073,1.6,1,1.2,96.6,61.8,1991.4,Darebin City Council,-37.708276,145.020828,Northern Metropolitan,21650,Indoor,350000,2016,5
Ringwood,4,h,SP,Barry,19.9,3134,4,2,3,780,170.2,1972.4,Maroondah City Council,-37.7892,145.2496,Eastern Metropolitan,7785,Attached Garage,965800,2017,11
Altona,3,u,S,Barlow,13.8,3018,2,1,2,311,94,1955,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301,Attached Garage,630000,2016,6
Hoppers Crossing,4,h,S,Triwest,18.4,3029,4,2,1,612,126.6,1979,Wyndham City Council,-37.87616,144.69071,Western Metropolitan,13830,Parking Pad,570000,2018,3
Balwyn,3,h,S,Jellis,9.7,3103,3,1,2,697,211.2,1951.8,Boroondara City Council,-37.8044,145.0853,Southern Metropolitan,5682,Detached Garage,1910000,2016,9
Preston,2,u,S,Harcourts,8.8,3072,2,1,1,126,79,1970,Darebin City Council,-37.7523,145.0091,Northern Metropolitan,14577,Outdoor Stall,610000,2016,8
Princes Hill,2,h,S,Woodards,3.5,3054,2,1,1.2,533,108.2,1941.6,Yarra City Council,-37.7828,144.969,Northern Metropolitan,1008,Carport,957000,2017,11
Williamstown,3,h,VB,Raine,6.8,3016,3,1,1.6,184,108,1900,Hobsons Bay City Council,-37.85232,144.89008,Western Metropolitan,6380,Detached Garage,870000,2018,6
Footscray,1,u,PI,Burnham,5.1,3011,1,1,0,30,26,2013,Maribyrnong City Council,-37.80141,144.89587,Western Metropolitan,7570,Detached Garage,170000,2017,1
Doncaster,4,h,S,Jellis,13.9,3108,4,2,1.6,769,240,1970,Manningham City Council,-37.7781,145.1337,Eastern Metropolitan,9028,Parkade,1810000,2016,5
Keilor Downs,3,h,S,Brad,15.5,3038,3,2,2,850,132.4,1989.8,Brimbank City Council,-37.72056,144.80825,Western Metropolitan,3656,Parkade,680000,2017,9
Mill Park,3,h,S,Barry,17.9,3082,3,1,2,291.2,135.4,1986,Whittlesea City Council,-37.66607,145.0518,Northern Metropolitan,10529,Indoor,685000,2017,9
Langwarrin,2,u,SP,Aquire,12.74,3910,1.4,1,1,0,60,1966,Frankston City Council,-37.839224,145.015168,Eastern Victoria,8743,Attached Garage,337000,2017,7
Ringwood,4,h,PI,@Realty,19.9,3134,4,2,1,702,122,1961.8,Maroondah City Council,-37.8138,145.2176,Eastern Metropolitan,7785,Parkade,1150000,2017,11
Northcote,2,u,SP,Ray,5.3,3070,3,1.2,1.8,492.4,147.4,1993,Darebin City Council,-37.739476,145.052332,Northern Metropolitan,11364,Parkade,585000,2017,10
Hoppers Crossing,4,h,S,Barry,18.4,3029,4,2,2,598,132,1974.6,Wyndham City Council,-37.85428,144.70592,Western Metropolitan,13830,Underground,610500,2018,1
St Kilda,4,h,VB,Gary,5,3182,4,2,3,613,160,1910,Port Phillip City Council,-37.86667,144.98324,Southern Metropolitan,13240,Parkade,1600000,2017,12
Albion,3,h,S,RW,10.5,3020,3,1,3,522.6,129,1970,Brimbank City Council,-37.77843,144.81476,Western Metropolitan,2185,Attached Garage,812000,2018,10
Mulgrave,4,h,S,RW,18.8,3170,4,2,1,334.4,197,1975,Monash City Council,-37.92181,145.17104,South-Eastern Metropolitan,7113,Carport,900000,2017,10
Templestowe Lower,3,t,S,Jellis,12.4,3107,2.8,1.4,1.4,500.2,155.8,1945.4,Manningham City Council,-37.778054,145.009044,Eastern Metropolitan,5420,Parkade,1155000,2017,11
Balwyn,3,u,VB,Jellis,7.9,3103,3,1,2,550,178.2,2008,Boroondara City Council,-37.81303,145.0918,Southern Metropolitan,5682,Detached Garage,1150000,2018,10
Craigieburn,3,h,SP,LJ,20.6,3064,3,2,2,635,111.8,1989,Hume City Council,-37.60701,144.93583,Northern Metropolitan,15510,Indoor,505000,2017,7
Templestowe,4,h,PI,Barry,15.5,3106,4,2,2,812,33,1924,Manningham City Council,-37.7584,145.16128,Eastern Metropolitan,6202,Carport,1275000,2017,7
Glen Iris,3,h,S,Marshall,9.2,3146,3,1,2,453,102,1930,Boroondara City Council,-37.8487,145.0592,Southern Metropolitan,10412,Detached Garage,1601000,2017,5
Brunswick East,2,h,S,Nelson,4,3057,2,1,3,439,143.2,1962,Moreland City Council,-37.76766,144.97638,Northern Metropolitan,5533,Indoor,1265000,2017,9
Coburg,3,h,PI,Raine,7.8,3058,3.2,1.6,1.6,355,149.4,1974.2,Darebin City Council,-37.789726,145.09201,Northern Metropolitan,11204,Detached Garage,670000,2016,4
Strathmore,4,h,S,Considine,9.7,3041,4,2,2,699,145.8,1953.6,Moonee Valley City Council,-37.7207,144.9073,Western Metropolitan,3284,Attached Garage,1052000,2016,3
Reservoir,3,h,VB,Nelson,12,3073,3,1,1,237,123,1980,Darebin City Council,-37.7104,145.00717,Northern Metropolitan,21650,Carport,680000,2017,9
Oak Park,3,h,PI,Brad,11.2,3046,3,1,1,570,123,1960,Moreland City Council,-37.71611,144.91064,Northern Metropolitan,2651,Indoor,780000,2017,10
Reservoir,4,h,VB,Ray,12,3073,3,1.6,1.6,516,118.6,1972,Darebin City Council,-37.795664,145.0378,Northern Metropolitan,21650,Underground,690000,2017,11
Sunshine,3,h,S,Barry,10.5,3020,3,1.2,1.4,533.4,149.2,1970.6,Brimbank City Council,-37.76284,144.88769,Western Metropolitan,3755,Detached Garage,780000,2017,11
Werribee,3,h,SP,Triwest,14.7,3030,3,2,1,805,129.6,1995.2,Wyndham City Council,-37.89568,144.65733,Western Metropolitan,16166,Parkade,531000,2017,3
Chirnside Park,3,h,SP,Fletchers,11.84,3116,2.8,1.2,1.6,353.2,129.6,1972.6,Yarra Ranges Shire Council,-37.769578,144.859618,Eastern Victoria,3789,Indoor,715000,2017,11
